id,originalId,name,filePath,fileSize,fileType,status,organizationId,departmentId,uploadedById,isValidated,createdAt,updatedAt
doc-1,19f79fd4-382e-4e00-9782-dab154fa6fec,Gutschrift-Nr.-1234 (1).pdf,https://flowbitprod.blob.core.windows.net/flowbitprod/19f79fd4-382e-4e00-9782-dab154fa6fec-Gutschrift-Nr.-1234%20(1).pdf,2339,application/pdf,processed,cmeiu8m6q000ioeb459o69620,cmejyxunk0007jp04ovm062u8,cmeoiwj10000cjp04od3rrgou,true,2025-11-04T12:52:19.781Z,2025-11-06T07:37:48.881Z
doc-2,1ec0699e-770f-4749-a5c1-681cc56b5b3b,Gutschrift-Nr.-1234.pdf,https://flowbitprod.blob.core.windows.net/flowbitprod/1ec0699e-770f-4749-a5c1-681cc56b5b3b-Gutschrift-Nr.-1234.pdf,2338,application/pdf,processed,cmeiu8m6q000ioeb459o69620,cmejyxunk0007jp04ovm062u8,cmeoiwj10000cjp04od3rrgou,false,2025-11-04T12:44:43.010Z,2025-11-04T12:45:29.307Z
doc-3,f6b39ed5-9f84-43f0-9988-4e471f55440b,download (1).pdf,https://flowbitprod.blob.core.windows.net/flowbitprod/f6b39ed5-9f84-43f0-9988-4e471f55440b-download%20(1).pdf,29736,application/pdf,processed,cmeiu8m6q000ioeb459o69620,cmejyxunk0007jp04ovm062u8,cmeoiwj10000cjp04od3rrgou,true,2025-11-04T09:03:31.701Z,2025-11-06T09:07:39.882Z
doc-4,6503745b-3b0a-46b2-a975-fd7d2f38a701,rechnungsvorlage-kleinunternehmer-word.pdf,https://flowbitprod.blob.core.windows.net/flowbitprod/6503745b-3b0a-46b2-a975-fd7d2f38a701-rechnungsvorlage-kleinunternehmer-word.pdf,74736,application/pdf,processed,cmeiu8m6q000ioeb459o69620,cmejyxunk0007jp04ovm062u8,cmeoiwj10000cjp04od3rrgou,false,2025-11-03T21:10:05.695Z,2025-11-03T21:10:23.982Z
doc-5,776aaaf0-bc4f-41fe-876d-08ac7f1029ca,rechnungsvorlage-de-hubsch-750px.pdf,https://flowbitprod.blob.core.windows.net/flowbitprod/776aaaf0-bc4f-41fe-876d-08ac7f1029ca-rechnungsvorlage-de-hubsch-750px.pdf,32004,application/pdf,processed,cmeiu8m6q000ioeb459o69620,cmejyxunk0007jp04ovm062u8,cmeoiwj10000cjp04od3rrgou,false,2025-11-03T16:59:11.791Z,2025-11-03T18:54:37.862Z
doc-6,ad67854a-364d-4a92-b164-74d8ba66bbad,Rechnungsvorlage 1.pdf,https://flowbitprod.blob.core.windows.net/flowbitprod/ad67854a-364d-4a92-b164-74d8ba66bbad-Rechnungsvorlage%201.pdf,74465,application/pdf,processed,cmeiu8m6q000ioeb459o69620,cmejyxunk0007jp04ovm062u8,cmeoiwj10000cjp04od3rrgou,false,2025-11-03T14:43:55.090Z,2025-11-03T14:44:17.504Z
doc-7,587f6a6b-a6d3-45a1-aba9-2b203fae3030,Invoice-template-Germany.pdf,https://flowbitprod.blob.core.windows.net/flowbitprod/587f6a6b-a6d3-45a1-aba9-2b203fae3030-Invoice-template-Germany.pdf,45136,application/pdf,processed,cmeiu8m6q000ioeb459o69620,cmejyxunk0007jp04ovm062u8,cmeoiwj10000cjp04od3rrgou,false,2025-11-03T13:46:54.327Z,2025-11-03T13:47:15.510Z
doc-8,fc93025f-e704-4147-9540-90a5cb2854b0,rechnungsvorlage-tabelle-01.pdf,https://flowbitprod.blob.core.windows.net/flowbitprod/fc93025f-e704-4147-9540-90a5cb2854b0-rechnungsvorlage-tabelle-01.pdf,37705,application/pdf,processed,cmeiu8m6q000ioeb459o69620,cmejyxunk0007jp04ovm062u8,cmeoiwj10000cjp04od3rrgou,false,2025-11-03T12:22:10.112Z,2025-11-03T12:22:59.479Z
doc-9,8e2d241d-cd55-48e7-b032-50fc1e611a4d,Rechnungsvorlage.pdf,https://flowbitprod.blob.core.windows.net/flowbitprod/8e2d241d-cd55-48e7-b032-50fc1e611a4d-Rechnungsvorlage.pdf,35510,application/pdf,processed,cmeiu8m6q000ioeb459o69620,cmejyxunk0007jp04ovm062u8,cmeoiwj10000cjp04od3rrgou,false,2025-11-03T12:21:51.370Z,2025-11-03T12:22:29.895Z
doc-10,3138c695-a755-4ce4-995d-3cc54ae132e1,musterrechnung-5p.pdf,https://flowbitprod.blob.core.windows.net/flowbitprod/3138c695-a755-4ce4-995d-3cc54ae132e1-musterrechnung-5p.pdf,82307,application/pdf,processed,cmeiu8m6q000ioeb459o69620,cmejyxunk0007jp04ovm062u8,cmeoiwj10000cjp04od3rrgou,false,2025-11-03T12:21:33.158Z,2025-11-03T12:21:58.212Z
doc-11,7e7edb10-226f-4d05-ba0f-05168a13a213,download-rechnungsvorlagen.pdf,https://flowbitprod.blob.core.windows.net/flowbitprod/7e7edb10-226f-4d05-ba0f-05168a13a213-download-rechnungsvorlagen.pdf,41986,application/pdf,processed,cmeiu8m6q000ioeb459o69620,cmejyxunk0007jp04ovm062u8,cmeoiwj10000cjp04od3rrgou,false,2025-11-03T12:21:15.774Z,2025-11-03T12:21:46.054Z
doc-12,3b15c338-a60e-475a-b112-a870778129be,DE-564x892.pdf,https://flowbitprod.blob.core.windows.net/flowbitprod/3b15c338-a60e-475a-b112-a870778129be-DE-564x892.pdf,26205,application/pdf,processed,cmeiu8m6q000ioeb459o69620,cmejyxunk0007jp04ovm062u8,cmeoiwj10000cjp04od3rrgou,false,2025-11-03T12:17:14.601Z,2025-11-03T12:17:47.204Z
doc-13,0653cd77-5fc6-47c5-8a9e-e9d9dc3dcb74,Sweets invoice.pdf,https://flowbitprod.blob.core.windows.net/flowbitprod/0653cd77-5fc6-47c5-8a9e-e9d9dc3dcb74-Sweets%20invoice.pdf,1713390,application/pdf,processed,cmeiu8m6q000ioeb459o69620,cmejyxunk0007jp04ovm062u8,cmhc413ql0000jy04hip2vj4o,false,2025-10-30T13:45:00.119Z,2025-10-30T13:45:31.579Z
doc-14,44e1cac4-e2d5-48b4-8d55-73be10b25907,invoiceaaa.pdf,https://flowbitprod.blob.core.windows.net/flowbitprod/44e1cac4-e2d5-48b4-8d55-73be10b25907-invoiceaaa.pdf,381709,application/pdf,processed,cmeiu8m6q000ioeb459o69620,cmejyxunk0007jp04ovm062u8,cmgrzt8g7000ajx047e3vk1hs,false,2025-10-30T10:12:44.853Z,2025-10-30T10:13:53.803Z
